title,year,awards,nominations,best_picture
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,
The Revenant   ,2015,3,12,
Bridge of Spies,2015,1,6,
The Big Short  ,2015,1,5,
The Danish Girl,2015,1,4,
Room   ,2015,1,4,
Ex Machina ,2015,1,2,
The Hateful Eight  ,2015,1,2,
Inside Out ,2015,1,2,
Amy,2015,1,1,
Bear Story ,2015,1,1,
A Girl in the River: The Price of Forgiveness  ,2015,1,1,
Son of Saul,2015,1,1,
Spectre,2015,1,1,
Stutterer  ,2015,1,1,
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,
The Revenant   ,2015,3,12,
Bridge of Spies,2015,1,6,
The Big Short  ,2015,1,5,
The Danish Girl,2015,1,4,
Room   ,2015,1,4,
Ex Machina ,2015,1,2,
The Hateful Eight  ,2015,1,2,
Inside Out ,2015,1,2,
Amy,2015,1,1,
Bear Story ,2015,1,1,
A Girl in the River: The Price of Forgiveness  ,2015,1,1,
Son of Saul,2015,1,1,
Spectre,2015,1,1,
Stutterer  ,2015,1,1,
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,
The Revenant   ,2015,3,12,
Bridge of Spies,2015,1,6,
The Big Short  ,2015,1,5,
The Danish Girl,2015,1,4,
Room   ,2015,1,4,
Ex Machina ,2015,1,2,
The Hateful Eight  ,2015,1,2,
Inside Out ,2015,1,2,
Amy,2015,1,1,
Bear Story ,2015,1,1,
A Girl in the River: The Price of Forgiveness  ,2015,1,1,
Son of Saul,2015,1,1,
Spectre,2015,1,1,
Stutterer  ,2015,1,1,
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,
The Revenant   ,2015,3,12,
Bridge of Spies,2015,1,6,
The Big Short  ,2015,1,5,
The Danish Girl,2015,1,4,
Room   ,2015,1,4,
Ex Machina ,2015,1,2,
The Hateful Eight  ,2015,1,2,
Inside Out ,2015,1,2,
Amy,2015,1,1,
Bear Story ,2015,1,1,
A Girl in the River: The Price of Forgiveness  ,2015,1,1,
Son of Saul,2015,1,1,
Spectre,2015,1,1,
Stutterer  ,2015,1,1,
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,
The Revenant   ,2015,3,12,
Bridge of Spies,2015,1,6,
The Big Short  ,2015,1,5,
The Danish Girl,2015,1,4,
Room   ,2015,1,4,
Ex Machina ,2015,1,2,
The Hateful Eight  ,2015,1,2,
Inside Out ,2015,1,2,
Amy,2015,1,1,
Bear Story ,2015,1,1,
A Girl in the River: The Price of Forgiveness  ,2015,1,1,
Son of Saul,2015,1,1,
Spectre,2015,1,1,
Stutterer  ,2015,1,1,
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,
The Revenant   ,2015,3,12,
Bridge of Spies,2015,1,6,
The Big Short  ,2015,1,5,
The Danish Girl,2015,1,4,
Room   ,2015,1,4,
Ex Machina ,2015,1,2,
The Hateful Eight  ,2015,1,2,
Inside Out ,2015,1,2,
Amy,2015,1,1,
Bear Story ,2015,1,1,
A Girl in the River: The Price of Forgiveness  ,2015,1,1,
Son of Saul,2015,1,1,
Spectre,2015,1,1,
Stutterer  ,2015,1,1,
